Name;Required;Set;AmigaOsVersion;Model;Md5Hash;VolumeName;Filename;CopyFile;Comment
Amiga OS 3.1.4 Modules A2000 Disk;True;Amiga OS 3.1.4 A2000;3.1.4;A2000;b201f0b45c5748be103792e03f938027;ModulesA2000_3.1.4;amiga-os-314-modules-a2000.adf;True;Hyperion Entertainment 1st release
Amiga OS 3.1.4 Modules A2000 Disk;True;Amiga OS 3.1.4 A2000;3.1.4;A2000;b8d09ea3369ac538c3920c515ba76e86;ModulesA2000_3.1.4;amiga-os-314-modules-a2000.adf;True;Hyperion Entertainment 2nd release
Amiga OS 3.1.4.1 Update;False;Amiga OS 3.1.4 A2000;3.1.4;A2000;62e7580b5f0c20e2162029fcd4783aaa;Update3.1.4.1;amiga-os-3141-update.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Icon Pack;False;Amiga OS 3.1.4 A2000;3.1.4;A2000;b1a7c9007fced12043b6d70848a3782b;;amiga-os-314-iconpack.lha;True;Hyperion Entertainment

Amiga OS 3.1.4 Extras Disk;True;Amiga OS 3.1.4 A1200;3.1.4;A1200;988ddad5106d5b846be57b711d878b4c;Extras3.1.4;amiga-os-314-extras.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Fonts Disk;True;Amiga OS 3.1.4 A1200;3.1.4;A1200;27a7af42777a43a06f8d9d8e74226e56;Fonts;amiga-os-314-fonts.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Install Disk;True;Amiga OS 3.1.4 A1200;3.1.4;A1200;7e9b5ec9cf89d9aae771cd1b708792d9;Install3.1.4;amiga-os-314-install.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Locale Disk;True;Amiga OS 3.1.4 A1200;3.1.4;A1200;4007bfe06b5b51af981a3fa52c51f54a;Locale;amiga-os-314-locale.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Storage Disk;True;Amiga OS 3.1.4 A1200;3.1.4;A1200;372215cd27888d65a95db92b6513e702;Storage3.1.4;amiga-os-314-storage.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Workbench Disk;True;Amiga OS 3.1.4 A1200;3.1.4;A1200;05a7469fd903744aa5f53741765bf668;Workbench3.1.4;amiga-os-314-workbench.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Modules A1200 Disk;True;Amiga OS 3.1.4 A1200;3.1.4;A1200;2797193dc7b7daa233abe1bcfee9d5a1;ModulesA1200_3.1.4;amiga-os-314-modules-a1200.adf;True;Hyperion Entertainment 1st release
Amiga OS 3.1.4 Modules A1200 Disk;True;Amiga OS 3.1.4 A1200;3.1.4;A1200;d170f8c11d1eb52f12643e0f13b44886;ModulesA1200_3.1.4;amiga-os-314-modules-a1200.adf;True;Hyperion Entertainment 2nd release
Amiga OS 3.1.4.1 Update;False;Amiga OS 3.1.4 A1200;3.1.4;A1200;62e7580b5f0c20e2162029fcd4783aaa;Update3.1.4.1;amiga-os-3141-update.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Icon Pack;False;Amiga OS 3.1.4 A1200;3.1.4;A1200;b1a7c9007fced12043b6d70848a3782b;;amiga-os-314-iconpack.lha;True;Hyperion Entertainment

Amiga OS 3.1.4 Extras Disk;True;Amiga OS 3.1.4 A3000;3.1.4;A3000;988ddad5106d5b846be57b711d878b4c;Extras3.1.4;amiga-os-314-extras.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Fonts Disk;True;Amiga OS 3.1.4 A3000;3.1.4;A3000;27a7af42777a43a06f8d9d8e74226e56;Fonts;amiga-os-314-fonts.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Install Disk;True;Amiga OS 3.1.4 A3000;3.1.4;A3000;7e9b5ec9cf89d9aae771cd1b708792d9;Install3.1.4;amiga-os-314-install.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Locale Disk;True;Amiga OS 3.1.4 A3000;3.1.4;A3000;4007bfe06b5b51af981a3fa52c51f54a;Locale;amiga-os-314-locale.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Storage Disk;True;Amiga OS 3.1.4 A3000;3.1.4;A3000;372215cd27888d65a95db92b6513e702;Storage3.1.4;amiga-os-314-storage.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Workbench Disk;True;Amiga OS 3.1.4 A3000;3.1.4;A3000;05a7469fd903744aa5f53741765bf668;Workbench3.1.4;amiga-os-314-workbench.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Modules A3000 Disk;True;Amiga OS 3.1.4 A3000;3.1.4;A3000;60263124ea2c5f1831a3af639d085a28;ModulesA3000_3.1.4;amiga-os-314-modules-a3000.adf;True;;Hyperion Entertainment 1st release
Amiga OS 3.1.4.1 Update;False;Amiga OS 3.1.4 A3000;3.1.4;A3000;62e7580b5f0c20e2162029fcd4783aaa;Update3.1.4.1;amiga-os-3141-update.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Icon Pack;False;Amiga OS 3.1.4 A3000;3.1.4;A3000;b1a7c9007fced12043b6d70848a3782b;;amiga-os-314-iconpack.lha;True;Hyperion Entertainment

Amiga OS 3.1.4 Extras Disk;True;Amiga OS 3.1.4 A4000D;3.1.4;A4000D;988ddad5106d5b846be57b711d878b4c;Extras3.1.4;amiga-os-314-extras.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Fonts Disk;True;Amiga OS 3.1.4 A4000D;3.1.4;A4000D;27a7af42777a43a06f8d9d8e74226e56;Fonts;amiga-os-314-fonts.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Install Disk;True;Amiga OS 3.1.4 A4000D;3.1.4;A4000D;7e9b5ec9cf89d9aae771cd1b708792d9;Install3.1.4;amiga-os-314-install.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Locale Disk;True;Amiga OS 3.1.4 A4000D;3.1.4;A4000D;4007bfe06b5b51af981a3fa52c51f54a;Locale;amiga-os-314-locale.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Storage Disk;True;Amiga OS 3.1.4 A4000D;3.1.4;A4000D;372215cd27888d65a95db92b6513e702;Storage3.1.4;amiga-os-314-storage.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Workbench Disk;True;Amiga OS 3.1.4 A4000D;3.1.4;A4000D;05a7469fd903744aa5f53741765bf668;Workbench3.1.4;amiga-os-314-workbench.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Modules A4000D Disk;True;Amiga OS 3.1.4 A4000D;3.1.4;A4000D;7d20dc438e802e41def3694d2be59f0f;ModulesA4000D_3.1.4;amiga-os-314-modules-a4000d.adf;True;;Hyperion Entertainment 1st release
Amiga OS 3.1.4.1 Update;False;Amiga OS 3.1.4 A4000D;3.1.4;A4000D;62e7580b5f0c20e2162029fcd4783aaa;Update3.1.4.1;amiga-os-3141-update.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Icon Pack;False;Amiga OS 3.1.4 A4000D;3.1.4;A4000D;b1a7c9007fced12043b6d70848a3782b;;amiga-os-314-iconpack.lha;True;Hyperion Entertainment

Amiga OS 3.1.4 Extras Disk;True;Amiga OS 3.1.4 A4000T;3.1.4;A4000T;988ddad5106d5b846be57b711d878b4c;Extras3.1.4;amiga-os-314-extras.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Fonts Disk;True;Amiga OS 3.1.4 A4000T;3.1.4;A4000T;27a7af42777a43a06f8d9d8e74226e56;Fonts;amiga-os-314-fonts.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Install Disk;True;Amiga OS 3.1.4 A4000T;3.1.4;A4000T;7e9b5ec9cf89d9aae771cd1b708792d9;Install3.1.4;amiga-os-314-install.adf;True;Hyperion Entertainment
Amiga OS 3.1.4 Locale Disk;True;Amiga OS 3.1.4 A4000T;3.1.4;A4000T;4007bfe06b5b51af981a3fa52c51f54a;Locale;amiga-os-314-locale.adf;True;Hyperion Entertainment
